Person	[17, ['ethnicity', 'expertise', 'gender', 'godfather', 'godmother', 'godparent', 'grandfather', 'grandparents', 'house', 'husband', 'marriage', 'membership', 'nationality', 'occupation', 'people', 'person', 'surname']]
Datetime	[9, ['action', 'arrival', 'death', 'earthquakes', 'event', 'hazardevent', 'member', 'period', 'registry']]
Integer	[7, ['century', 'descendant', 'grandparents', 'inventory', 'person', 'slaveowner', 'week']]
Owner	[5, ['enslavedperson', 'owner', 'plantation', 'ships', 'slave']]
Location	[5, ['action', 'earthquakes', 'landslide', 'person', 'stormsurges']]
Resource	[4, ['arrival', 'descendant', 'manumission', 'relationship']]
Human	[3, ['daughter', 'ship', 'slaveowner']]
Entity	[3, ['entity', 'expertisearea', 'period']]
Duration	[3, ['flood', 'service', 'storm']]
Slave	[2, ['slave', 'slaveowner']]
Man	[2, ['husband', 'wife']]
Ship	[2, ['ship', 'ships']]
Membership	[2, ['member', 'membership']]
Religion	[2, ['godfather', 'religion']]
Day	[2, ['day', 'week']]
